,AAPL,AMZN,GOOGL,MSFT
2024-07-12,230.5399932861328,194.49000549316406,185.07000732421875,453.54998779296875
2024-07-15,234.39999389648438,192.72000122070312,186.52999877929688,453.9599914550781
2024-07-16,234.82000732421875,193.02000427246094,183.9199981689453,449.5199890136719
2024-07-17,228.8800048828125,187.92999267578125,181.02000427246094,443.5199890136719
2024-07-18,224.17999267578125,183.75,177.69000244140625,440.3699951171875
2024-07-19,224.30999755859375,183.1300048828125,177.66000366210938,437.1099853515625
2024-07-22,223.9600067138672,182.5500030517578,181.6699981689453,442.94000244140625
2024-07-23,225.00999450683594,186.41000366210938,181.7899932861328,444.8500061035156
2024-07-24,218.5399932861328,180.8300018310547,172.6300048828125,428.8999938964844
2024-07-25,217.49000549316406,179.85000610351562,167.27999877929688,418.3999938964844
2024-07-26,217.9600067138672,182.5,167.0,425.2699890136719
2024-07-29,218.24000549316406,183.1999969482422,169.52999877929688,426.7300109863281
2024-07-30,218.8000030517578,181.7100067138672,170.2899932861328,422.9200134277344
2024-07-31,222.0800018310547,186.97999572753906,171.5399932861328,418.3500061035156
2024-08-01,218.36000061035156,184.07000732421875,170.75999450683594,417.1099853515625
2024-08-02,219.86000061035156,167.89999389648438,166.66000366210938,408.489990234375
2024-08-05,209.27000427246094,161.02000427246094,159.25,395.1499938964844
2024-08-06,207.22999572753906,161.92999267578125,158.2899932861328,399.6099853515625
2024-08-07,209.82000732421875,162.77000427246094,158.94000244140625,398.42999267578125
2024-08-08,213.30999755859375,165.8000030517578,162.02999877929688,402.69000244140625
2024-08-09,216.24000549316406,166.94000244140625,163.6699981689453,406.0199890136719
2024-08-12,217.52999877929688,166.8000030517578,162.2899932861328,406.80999755859375
2024-08-13,221.27000427246094,170.22999572753906,164.16000366210938,414.010009765625
2024-08-14,221.72000122070312,170.10000610351562,160.3699951171875,416.8599853515625
2024-08-15,224.72000122070312,177.58999633789062,161.3000030517578,421.0299987792969
2024-08-16,226.0500030517578,177.05999755859375,162.9600067138672,418.4700012207031
2024-08-19,225.88999938964844,178.22000122070312,166.6699981689453,421.5299987792969
2024-08-20,226.50999450683594,178.8800048828125,167.17999267578125,424.79998779296875
2024-08-21,226.39999389648438,180.11000061035156,165.85000610351562,424.1400146484375
2024-08-22,224.52999877929688,176.1300048828125,163.8000030517578,415.54998779296875
2024-08-23,226.83999633789062,177.0399932861328,165.6199951171875,416.7900085449219
2024-08-26,227.17999267578125,175.5,166.16000366210938,413.489990234375
2024-08-27,228.02999877929688,173.1199951171875,164.67999267578125,413.8399963378906
2024-08-28,226.49000549316406,170.8000030517578,162.85000610351562,410.6000061035156
2024-08-29,229.7899932861328,172.1199951171875,161.77999877929688,413.1199951171875
2024-08-30,229.0,178.5,163.3800048828125,417.1400146484375
2024-09-03,222.77000427246094,176.25,157.36000061035156,409.44000244140625
2024-09-04,220.85000610351562,173.3300018310547,156.4499969482422,408.8999938964844
2024-09-05,222.3800048828125,177.88999938964844,157.24000549316406,408.3900146484375
2024-09-06,220.82000732421875,171.38999938964844,150.9199981689453,401.70001220703125
2024-09-09,220.91000366210938,175.39999389648438,148.7100067138672,405.7200012207031
2024-09-10,220.11000061035156,179.5500030517578,148.66000366210938,414.20001220703125
2024-09-11,222.66000366210938,184.52000427246094,151.16000366210938,423.0400085449219
2024-09-12,222.77000427246094,187.0,154.69000244140625,427.0
2024-09-13,222.5,186.49000549316406,157.4600067138672,430.5899963378906
2024-09-16,216.32000732421875,184.88999938964844,158.05999755859375,431.3399963378906
2024-09-17,216.7899932861328,186.8800048828125,159.32000732421875,435.1499938964844
2024-09-18,220.69000244140625,186.42999267578125,159.80999755859375,430.80999755859375
2024-09-19,228.8699951171875,189.8699951171875,162.13999938964844,438.69000244140625
2024-09-20,228.1999969482422,191.60000610351562,163.58999633789062,435.2699890136719
2024-09-23,226.47000122070312,193.8800048828125,161.85000610351562,433.510009765625
2024-09-24,227.3699951171875,193.9600067138672,162.2899932861328,429.1700134277344
2024-09-25,226.3699951171875,192.52999877929688,161.49000549316406,432.1099853515625
2024-09-26,227.52000427246094,191.16000366210938,162.72999572753906,431.30999755859375
2024-09-27,227.7899932861328,187.97000122070312,163.9499969482422,428.0199890136719
2024-09-30,233.0,186.3300018310547,165.85000610351562,430.29998779296875
2024-10-01,226.2100067138672,185.1300048828125,166.99000549316406,420.69000244140625
2024-10-02,226.77999877929688,184.75999450683594,165.86000061035156,417.1300048828125
