CCA3,Rank,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),World Population Percentage
BTN,165,Bhutan,Thimphu,Asia,782455.0,772506.0,743274.0,705516.0,587207.0,558442.0,415257.0,298894.0,38394,20.3796,0.01
BOL,80,Bolivia,Sucre,South America,12224110.0,11936162.0,11090085.0,10223270.0,8592656.0,7096194.0,5736088.0,4585693.0,1098581,11.1272,0.15
BIH,137,Bosnia and Herzegovina,Sarajevo,Europe,3233526.0,3318407.0,3524324.0,3811088.0,4179350.0,4494310.0,4199820.0,3815561.0,51209,63.1437,0.04
BWA,144,Botswana,Gaborone,Africa,2630296.0,2546402.0,2273263.0,2000124.0,1726985.0,1341474.0,938578.0,592244.0,582000,4.5194,0.03
BRA,7,Brazil,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767,25.2841,2.7
VGB,221,British Virgin Islands,Road Town,North America,31305.0,30910.0,29366.0,27556.0,20104.0,15617.0,11109.0,9581.0,151,207.3179,0.0
BRN,175,Brunei,Bandar Seri Begawan,Asia,449002.0,441725.0,421437.0,396053.0,333926.0,261928.0,187921.0,133343.0,5765,77.8841,0.01
BGR,108,Bulgaria,Sofia,Europe,6781953.0,6979175.0,7309253.0,7592273.0,8097691.0,8767778.0,8980606.0,8582950.0,110879,61.1654,0.09
BFA,58,Burkina Faso,Ouagadougou,Africa,22673762.0,21522626.0,18718019.0,16116845.0,11882888.0,9131361.0,6932967.0,5611666.0,272967,83.0641,0.28
BDI,78,Burundi,Bujumbura,Africa,12889576.0,12220227.0,10727148.0,9126605.0,6307659.0,5483793.0,4312834.0,3497834.0,27834,463.0874,0.16
KHM,73,Cambodia,Phnom Penh,Asia,16767842.0,16396860.0,15417523.0,14363532.0,12118841.0,8910808.0,6198959.0,6708525.0,181035,92.6221,0.21
CMR,53,Cameroon,Yaounde,Africa,27914536.0,26491087.0,23012646.0,19878036.0,15091594.0,11430520.0,8519891.0,6452787.0,475442,58.7128,0.35
CAN,39,Canada,Ottawa,North America,38454327.0,37888705.0,35732126.0,33963412.0,30683313.0,27657204.0,24511510.0,21434577.0,9984670,3.8513,0.48
CPV,171,Cape Verde,Praia,Africa,593149.0,582640.0,552166.0,521212.0,458251.0,364563.0,317234.0,287262.0,4033,147.0739,0.01
CYM,205,Cayman Islands,George Town,North America,68706.0,67311.0,60911.0,54074.0,39658.0,26027.0,17100.0,10533.0,264,260.25,0.0
CAF,117,Central African Republic,Bangui,Africa,5579144.0,5343020.0,4819333.0,4660067.0,3759170.0,2809221.0,2415276.0,2067356.0,622984,8.9555,0.07
TCD,69,Chad,N'Djamena,Africa,17723315.0,16644701.0,14140274.0,11894727.0,8259137.0,5827069.0,4408230.0,3667394.0,1284000,13.8032,0.22
CHL,65,Chile,Santiago,South America,19603733.0,19300315.0,17870124.0,17004162.0,15351799.0,13342868.0,11469828.0,9820481.0,756102,25.9274,0.25
CHN,1,China,Beijing,Asia,1425887337.0,1424929781.0,1393715448.0,1348191368.0,1264099069.0,1153704252.0,982372466.0,822534450.0,9706961,146.8933,17.88
COL,28,Colombia,Bogota,South America,51874024.0,50930662.0,47119728.0,44816108.0,39215135.0,32601393.0,26176195.0,20905254.0,1141748,45.4339,0.65
